Country,Climate_points,Renewable_rank,CO2_rank,Consumption_rank
Russia,462.6,10.3,226.0,226.3
World,463.0,1.0,231.0,231.0
Uzbekistan,464.6,80.6,195.0,189.0
Kazakhstan,470.2,61.3,208.7,200.2
"Germany, East",474.9,93.2,185.0,196.7
"Germany, West",484.3,41.0,222.7,220.6
Iran,485.9,48.7,218.4,218.8
South Korea,490.6,47.5,220.2,222.9
Libya,493.8,168.6,165.0,160.2
Algeria,503.9,122.0,190.1,191.8
Former Yugoslavia,505.9,97.6,206.8,201.5
South Africa,507.7,86.5,213.6,207.6
Singapore,516.4,110.2,203.2,203.0
Bahrain,522.9,203.2,158.4,161.3
Trinidad and Tobago,531.1,196.4,166.0,168.7
Oman,542.0,199.4,169.4,173.2
Kuwait,546.5,176.5,186.1,183.9
United Arab Emirates,549.9,137.2,205.3,207.4
Qatar,557.4,187.3,180.5,189.6
Israel,572.9,229.0,173.3,170.6
Turkmenistan,598.9,230.0,180.6,188.3
Saudi Arabia,607.0,166.2,220.2,220.6
Poland,627.3,231.0,198.0,198.3
